"Scenario","Date","PnL","Trades","SpreadCost","SlipCost","PeakPnL","TroughPnL","Runtime"
"SLCooldown=10s","20260211","180.91","6","12.04","12.68","192.51","30.87","11"
"SLCooldown=10s","20260212","186.57","19","23.44","42.55","232.33","55.31","9"
"SLCooldown=10s","20260220","189.91","6","12.03","21.21","197.99","22.66","17"
"SLCooldown=10s","TOTAL","557.39","31","","","","",""
"SLCooldown=15s","20260211","180.91","6","12.04","12.62","192.51","30.87","12"
"SLCooldown=15s","20260212","167.49","19","23.45","41.96","213.25","55.31","23"
"SLCooldown=15s","20260220","189.91","6","12.03","21.21","197.99","22.66","11"
"SLCooldown=15s","TOTAL","538.31","31","","","","",""
"SLCooldown=20s","20260211","180.91","6","12.04","12.54","192.51","30.87","10"
"SLCooldown=20s","20260212","166.16","17","21.45","38.70","211.92","55.31","10"
"SLCooldown=20s","20260220","189.91","6","12.03","20.94","197.99","22.66","13"
"SLCooldown=20s","TOTAL","536.98","29","","","","",""
"SLCooldown=30s","20260211","180.91","6","12.04","12.53","192.51","30.87","11"
"SLCooldown=30s","20260212","-168.16","33","37.14","74.51","155.91","200.32","12"
"SLCooldown=30s","20260220","189.91","6","12.03","20.96","197.99","22.66","15"
"SLCooldown=30s","TOTAL","202.66","45","","","","",""
"SLCooldown=60s","20260211","180.91","6","12.04","12.66","192.51","30.87","15"
"SLCooldown=60s","20260212","167.08","19","23.44","42.60","212.84","55.31","12"
"SLCooldown=60s","20260220","189.91","6","12.03","20.94","197.99","22.66","12"
"SLCooldown=60s","TOTAL","537.90","31","","","","",""
