"Scenario","Date","Phase","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"MACD-DEFAULT","20260209","full","-41.25","-0.41","9","81.48","63.06","8"
"MACD-DEFAULT","20260210","full","-91.47","-0.91","17","35.24","142.22","7"
"MACD-DEFAULT","20260211","full","196.96","1.97","6","205.66","27.93","8"
"MACD-DEFAULT","20260212","full","161.73","1.62","17","177.02","53.89","7"
"MACD-DEFAULT","20260213","full","179.18","1.79","6","182.32","118.80","7"
"MACD-DEFAULT","TOTAL","full","405.15","","55","","",""
"NO-MACD-REF","20260209","full","14.16","0.14","4","81.48","63.06","8"
"NO-MACD-REF","20260210","full","46.24","0.46","7","55.49","35.29","7"
"NO-MACD-REF","20260211","full","196.96","1.97","6","205.66","27.93","7"
"NO-MACD-REF","20260212","full","172.36","1.72","15","187.76","33.73","7"
"NO-MACD-REF","20260213","full","179.18","1.79","6","182.32","118.80","8"
"NO-MACD-REF","TOTAL","full","608.90","","38","","",""
"AccelWait=5s","20260209","full","-41.25","-0.41","9","81.48","63.06","8"
"AccelWait=5s","20260210","full","-92.91","-0.93","17","35.24","142.22","10"
"AccelWait=5s","20260211","full","196.96","1.97","6","205.66","27.93","8"
"AccelWait=5s","20260212","full","161.73","1.62","17","177.02","53.89","8"
"AccelWait=5s","20260213","full","179.18","1.79","6","182.32","118.80","8"
"AccelWait=5s","TOTAL","full","403.71","","55","","",""
"AccelWait=10s","20260209","full","-41.25","-0.41","9","81.48","63.06","8"
"AccelWait=10s","20260210","full","-92.91","-0.93","17","35.24","142.22","8"
"AccelWait=10s","20260211","full","196.96","1.97","6","205.66","27.93","8"
"AccelWait=10s","20260212","full","161.73","1.62","17","177.02","53.89","8"
"AccelWait=10s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"AccelWait=10s","TOTAL","full","403.71","","55","","",""
"AccelWait=15s","20260209","full","-41.25","-0.41","9","81.48","63.06","9"
"AccelWait=15s","20260210","full","-91.47","-0.91","17","35.24","142.22","8"
"AccelWait=15s","20260211","full","196.96","1.97","6","205.66","27.93","10"
"AccelWait=15s","20260212","full","161.73","1.62","17","177.02","53.89","9"
"AccelWait=15s","20260213","full","179.18","1.79","6","182.32","118.80","9"
"AccelWait=15s","TOTAL","full","405.15","","55","","",""
"AccelWait=20s","20260209","full","-41.25","-0.41","9","81.48","63.06","8"
"AccelWait=20s","20260210","full","-82.83","-0.83","17","35.24","142.22","7"
"AccelWait=20s","20260211","full","196.96","1.97","6","205.66","27.93","8"
"AccelWait=20s","20260212","full","161.73","1.62","17","177.02","53.89","7"
"AccelWait=20s","20260213","full","179.18","1.79","6","182.32","118.80","9"
"AccelWait=20s","TOTAL","full","413.79","","55","","",""
"AccelWait=30s","20260209","full","-41.25","-0.41","9","81.48","63.06","8"
"AccelWait=30s","20260210","full","-79.95","-0.80","17","35.24","142.22","7"
"AccelWait=30s","20260211","full","196.96","1.97","6","205.66","27.93","8"
"AccelWait=30s","20260212","full","161.73","1.62","17","177.02","53.89","7"
"AccelWait=30s","20260213","full","179.18","1.79","6","182.32","118.80","8"
"AccelWait=30s","TOTAL","full","416.67","","55","","",""
"AccelWait=45s","20260209","full","-41.25","-0.41","9","81.48","63.06","8"
"AccelWait=45s","20260210","full","-90.03","-0.90","17","35.24","142.22","7"
"AccelWait=45s","20260211","full","196.96","1.97","6","205.66","27.93","9"
"AccelWait=45s","20260212","full","161.73","1.62","17","177.02","53.89","9"
"AccelWait=45s","20260213","full","179.18","1.79","6","182.32","118.80","9"
"AccelWait=45s","TOTAL","full","406.59","","55","","",""
"AccelWait=60s","20260209","full","-41.25","-0.41","9","81.48","63.06","9"
"AccelWait=60s","20260210","full","-90.03","-0.90","17","35.24","142.22","7"
"AccelWait=60s","20260211","full","196.96","1.97","6","205.66","27.93","7"
"AccelWait=60s","20260212","full","161.73","1.62","17","177.02","53.89","7"
"AccelWait=60s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"AccelWait=60s","TOTAL","full","406.59","","55","","",""
"AccelWait=90s","20260209","full","-41.25","-0.41","9","81.48","63.06","8"
"AccelWait=90s","20260210","full","-60.04","-0.60","17","68.59","109.35","8"
"AccelWait=90s","20260211","full","196.96","1.97","6","205.66","27.93","8"
"AccelWait=90s","20260212","full","161.73","1.62","17","177.02","53.89","9"
"AccelWait=90s","20260213","full","179.18","1.79","6","182.32","118.80","7"
"AccelWait=90s","TOTAL","full","436.58","","55","","",""
