"Scenario","Date","Phase","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"Boost+Gate DZ=0.08","TOTAL","full","395.87","","49","","",""
"Boost+Gate DZ=0.12","20260209","full","4.15","0.04","6","81.48","63.06","7"
"Boost+Gate DZ=0.12","20260210","full","-10.79","-0.11","4","56.10","13.05","6"
"Boost+Gate DZ=0.12","20260211","full","196.96","1.97","6","199.86","27.93","7"
"Boost+Gate DZ=0.12","20260212","full","172.49","1.72","15","187.89","35.15","7"
"Boost+Gate DZ=0.12","20260213","full","179.18","1.79","6","182.32","118.80","8"
"Boost+Gate DZ=0.12","TOTAL","full","541.99","","37","","",""
"Boost+Gate DZ=0.15","20260209","full","-50.19","-0.50","6","81.48","63.06","7"
"Boost+Gate DZ=0.15","20260210","full","-26.96","-0.27","4","39.93","26.96","6"
"Boost+Gate DZ=0.15","20260211","full","196.96","1.97","6","205.66","27.93","8"
"Boost+Gate DZ=0.15","20260212","full","34.94","0.35","21","143.62","33.65","9"
"Boost+Gate DZ=0.15","20260213","full","179.18","1.79","6","182.32","118.80","7"
"Boost+Gate DZ=0.15","TOTAL","full","333.93","","43","","",""
"Boost+Gate DZ=0.2","20260209","full","14.16","0.14","4","81.48","63.06","7"
"Boost+Gate DZ=0.2","20260210","full","36.25","0.36","2","37.70","13.05","7"
"Boost+Gate DZ=0.2","20260211","full","196.96","1.97","6","205.66","27.93","8"
"Boost+Gate DZ=0.2","20260212","full","-22.37","-0.22","6","88.45","22.37","7"
"Boost+Gate DZ=0.2","20260213","full","179.18","1.79","6","182.32","118.80","7"
"Boost+Gate DZ=0.2","TOTAL","full","404.18","","24","","",""
