"Scenario","Date","Phase","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"Gate V=8E-06 DZ=0.08","20260211","base","-270.55","-2.71","17","62.66","293.44","5"
"Gate V=8E-06 DZ=0.08","20260213","base","-158.41","-1.58","17","88.06","158.41","6"
"Gate V=8E-06 DZ=0.08","TOTAL","base","-428.96","","34","","",""
"Gate V=8E-06 DZ=0.12","20260211","base","-277.46","-2.77","17","62.66","300.44","6"
"Gate V=8E-06 DZ=0.12","20260213","base","-148.99","-1.49","15","88.06","148.99","6"
"Gate V=8E-06 DZ=0.12","TOTAL","base","-426.45","","32","","",""
"Gate V=1E-05 DZ=0.01","20260211","base","-159.44","-1.59","11","62.66","162.26","6"
"Gate V=1E-05 DZ=0.01","20260213","base","-192.83","-1.93","15","88.06","192.83","7"
"Gate V=1E-05 DZ=0.01","TOTAL","base","-352.27","","26","","",""
"Gate V=1E-05 DZ=0.02","20260211","base","-159.44","-1.59","11","62.66","162.26","7"
"Gate V=1E-05 DZ=0.02","20260213","base","-192.83","-1.93","15","88.06","192.83","6"
"Gate V=1E-05 DZ=0.02","TOTAL","base","-352.27","","26","","",""
"Gate V=1E-05 DZ=0.03","20260211","base","-159.44","-1.59","11","62.66","162.26","6"
"Gate V=1E-05 DZ=0.03","20260213","base","-192.83","-1.93","15","88.06","192.83","6"
"Gate V=1E-05 DZ=0.03","TOTAL","base","-352.27","","26","","",""
"Gate V=1E-05 DZ=0.05","20260211","base","-159.44","-1.59","11","62.66","162.26","6"
"Gate V=1E-05 DZ=0.05","20260213","base","-192.83","-1.93","15","88.06","192.83","6"
"Gate V=1E-05 DZ=0.05","TOTAL","base","-352.27","","26","","",""
"Gate V=1E-05 DZ=0.08","20260211","base","-159.44","-1.59","11","62.66","162.26","6"
"Gate V=1E-05 DZ=0.08","20260213","base","-191.49","-1.91","15","88.06","191.49","6"
"Gate V=1E-05 DZ=0.08","TOTAL","base","-350.93","","26","","",""
"Gate V=1E-05 DZ=0.12","20260211","base","-166.49","-1.66","11","62.66","169.31","5"
"Gate V=1E-05 DZ=0.12","20260213","base","-194.17","-1.94","15","88.06","194.17","6"
"Gate V=1E-05 DZ=0.12","TOTAL","base","-360.66","","26","","",""
"Gate V=1.2E-05 DZ=0.01","20260211","base","-66.56","-0.67","7","62.66","69.40","6"
"Gate V=1.2E-05 DZ=0.01","20260213","base","-170.73","-1.71","13","94.18","170.73","6"
"Gate V=1.2E-05 DZ=0.01","TOTAL","base","-237.29","","20","","",""
"Gate V=1.2E-05 DZ=0.02","20260211","base","-66.56","-0.67","7","62.66","69.40","7"
"Gate V=1.2E-05 DZ=0.02","20260213","base","-170.73","-1.71","13","94.18","170.73","9"
"Gate V=1.2E-05 DZ=0.02","TOTAL","base","-237.29","","20","","",""
"Gate V=1.2E-05 DZ=0.03","20260211","base","-66.56","-0.67","7","62.66","69.40","6"
"Gate V=1.2E-05 DZ=0.03","20260213","base","-170.73","-1.71","13","94.18","170.73","5"
"Gate V=1.2E-05 DZ=0.03","TOTAL","base","-237.29","","20","","",""
"Gate V=1.2E-05 DZ=0.05","20260211","base","-66.56","-0.67","7","62.66","66.56","7"
"Gate V=1.2E-05 DZ=0.05","20260213","base","-170.73","-1.71","13","94.18","170.73","7"
"Gate V=1.2E-05 DZ=0.05","TOTAL","base","-237.29","","20","","",""
"Gate V=1.2E-05 DZ=0.08","20260211","base","-66.56","-0.67","7","62.66","66.56","7"
"Gate V=1.2E-05 DZ=0.08","20260213","base","-169.38","-1.69","13","94.18","169.38","7"
"Gate V=1.2E-05 DZ=0.08","TOTAL","base","-235.94","","20","","",""
"Gate V=1.2E-05 DZ=0.12","20260211","base","-73.66","-0.74","7","62.66","76.50","7"
"Gate V=1.2E-05 DZ=0.12","20260213","base","-171.62","-1.72","13","94.18","171.62","7"
"Gate V=1.2E-05 DZ=0.12","TOTAL","base","-245.28","","20","","",""
"Gate V=1.5E-05 DZ=0.01","20260211","base","-66.56","-0.67","7","62.66","69.40","6"
"Gate V=1.5E-05 DZ=0.01","20260213","base","-97.33","-0.97","9","101.56","97.33","6"
"Gate V=1.5E-05 DZ=0.01","TOTAL","base","-163.89","","16","","",""
"Gate V=1.5E-05 DZ=0.02","20260211","base","-66.56","-0.67","7","62.66","69.40","7"
"Gate V=1.5E-05 DZ=0.02","20260213","base","-97.33","-0.97","9","101.56","97.33","6"
