"Scenario","Date","Phase","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"MACD-DEFAULT","20260209","full","-41.25","-0.41","9","81.48","63.06","7"
"MACD-DEFAULT","20260210","full","-91.47","-0.91","17","35.24","142.22","7"
"MACD-DEFAULT","20260211","full","196.96","1.97","6","205.66","27.93","8"
"MACD-DEFAULT","20260212","full","161.73","1.62","17","177.02","53.89","7"
"MACD-DEFAULT","20260213","full","179.18","1.79","6","182.32","118.80","7"
"MACD-DEFAULT","TOTAL","full","405.15","","55","","",""
"NO-MACD-REF","20260209","full","14.16","0.14","4","81.48","63.06","7"
"NO-MACD-REF","20260210","full","46.24","0.46","7","55.49","35.29","7"
"NO-MACD-REF","20260211","full","196.96","1.97","6","205.66","27.93","8"
"NO-MACD-REF","20260212","full","172.36","1.72","15","187.76","33.73","7"
"NO-MACD-REF","20260213","full","179.18","1.79","6","182.32","118.80","7"
"NO-MACD-REF","TOTAL","full","608.90","","38","","",""
"DeadZone=0.005","20260209","full","-41.25","-0.41","9","81.48","63.06","8"
"DeadZone=0.005","20260210","full","-91.47","-0.91","17","35.24","142.22","8"
"DeadZone=0.005","20260211","full","196.96","1.97","6","205.66","27.93","8"
"DeadZone=0.005","20260212","full","161.73","1.62","17","177.02","53.89","7"
"DeadZone=0.005","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DeadZone=0.005","TOTAL","full","405.15","","55","","",""
"DeadZone=0.01","20260209","full","-41.25","-0.41","9","81.48","63.06","8"
"DeadZone=0.01","20260210","full","-91.47","-0.91","17","35.24","142.22","7"
"DeadZone=0.01","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DeadZone=0.01","20260212","full","161.73","1.62","17","177.02","53.89","7"
"DeadZone=0.01","20260213","full","179.18","1.79","6","182.32","118.80","8"
"DeadZone=0.01","TOTAL","full","405.15","","55","","",""
"DeadZone=0.015","20260209","full","-41.25","-0.41","9","81.48","63.06","8"
"DeadZone=0.015","20260210","full","-91.47","-0.91","17","35.24","142.22","7"
"DeadZone=0.015","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DeadZone=0.015","20260212","full","161.73","1.62","17","177.02","53.89","7"
"DeadZone=0.015","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DeadZone=0.015","TOTAL","full","405.15","","55","","",""
"DeadZone=0.02","20260209","full","-41.25","-0.41","9","81.48","63.06","7"
"DeadZone=0.02","20260210","full","-91.47","-0.91","17","35.24","142.22","7"
"DeadZone=0.02","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DeadZone=0.02","20260212","full","161.73","1.62","17","177.02","53.89","7"
"DeadZone=0.02","20260213","full","179.18","1.79","6","182.32","118.80","8"
"DeadZone=0.02","TOTAL","full","405.15","","55","","",""
"DeadZone=0.03","20260209","full","-41.25","-0.41","9","81.48","63.06","8"
"DeadZone=0.03","20260210","full","-91.47","-0.91","17","35.24","142.22","8"
"DeadZone=0.03","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DeadZone=0.03","20260212","full","161.73","1.62","17","177.02","53.89","7"
"DeadZone=0.03","20260213","full","179.18","1.79","6","182.32","118.80","9"
"DeadZone=0.03","TOTAL","full","405.15","","55","","",""
"DeadZone=0.04","20260209","full","-41.25","-0.41","9","81.48","63.06","7"
"DeadZone=0.04","20260210","full","-117.98","-1.18","15","23.20","177.21","7"
"DeadZone=0.04","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DeadZone=0.04","20260212","full","161.73","1.62","17","177.02","53.89","7"
"DeadZone=0.04","20260213","full","179.18","1.79","6","182.32","118.80","7"
"DeadZone=0.04","TOTAL","full","378.64","","53","","",""
"DeadZone=0.05","20260209","full","-29.65","-0.30","9","81.48","63.06","8"
"DeadZone=0.05","20260210","full","-145.01","-1.45","15","23.20","202.89","7"
"DeadZone=0.05","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DeadZone=0.05","20260212","full","-99.83","-1.00","33","166.43","99.83","8"
"DeadZone=0.05","20260213","full","179.18","1.79","6","182.32","118.80","8"
"DeadZone=0.05","TOTAL","full","101.65","","69","","",""
"DeadZone=0.08","20260209","full","-34.00","-0.34","9","81.48","63.06","7"
"DeadZone=0.08","20260210","full","-138.90","-1.39","11","23.20","211.81","7"
"DeadZone=0.08","20260211","full","196.96","1.97","6","205.66","27.93","7"
"DeadZone=0.08","20260212","full","-25.28","-0.25","29","169.37","62.69","8"
"DeadZone=0.08","20260213","full","179.18","1.79","6","182.32","118.80","8"
"DeadZone=0.08","TOTAL","full","177.96","","61","","",""
