"Scenario","Date","PnL","Trades","SpreadCost","SlipCost","PeakPnL","TroughPnL","Runtime"
"Reinvest=75%","TOTAL","558.37","31","","","","",""
"Reinvest=100%","20260211","181.33","6","12.07","12.58","193.01","30.87","14"
"Reinvest=100%","20260212","165.81","17","26.51","51.63","212.23","48.19","13"
"Reinvest=100%","20260220","-656.99","45","54.14","124.12","154.57","688.61","11"
"Reinvest=100%","TOTAL","-309.85","68","","","","",""
"LossLimit=OFF","20260211","180.91","6","12.04","12.66","192.51","30.87","13"
"LossLimit=OFF","20260212","186.57","19","23.44","42.55","232.33","55.31","14"
"LossLimit=OFF","20260220","189.91","6","12.03","21.21","197.99","22.66","11"
"LossLimit=OFF","TOTAL","557.39","31","","","","",""
"LossLimit=0.5%","20260211","180.91","6","12.04","12.62","192.51","30.87","9"
"LossLimit=0.5%","20260212","186.57","19","23.44","42.55","232.33","55.31","9"
"LossLimit=0.5%","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"LossLimit=0.5%","TOTAL","557.39","31","","","","",""
"LossLimit=1%","20260211","180.91","6","12.04","12.57","192.51","30.87","7"
"LossLimit=1%","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"LossLimit=1%","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"LossLimit=1%","TOTAL","557.39","31","","","","",""
"LossLimit=1.5%","20260211","180.91","6","12.04","12.62","192.51","30.87","9"
"LossLimit=1.5%","20260212","186.57","19","23.44","42.55","232.33","55.31","13"
"LossLimit=1.5%","20260220","189.91","6","12.03","20.94","197.99","22.66","10"
"LossLimit=1.5%","TOTAL","557.39","31","","","","",""
"LossLimit=2%","20260211","180.91","6","12.04","12.68","192.51","30.87","13"
"LossLimit=2%","20260212","186.57","19","23.44","42.55","232.33","55.31","15"
"LossLimit=2%","20260220","189.91","6","12.03","21.21","197.99","22.66","13"
"LossLimit=2%","TOTAL","557.39","31","","","","",""
"LossLimit=3%","20260211","180.91","6","12.04","12.66","192.51","30.87","11"
"LossLimit=3%","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"LossLimit=3%","20260220","189.91","6","12.03","21.23","197.99","22.66","11"
"LossLimit=3%","TOTAL","557.39","31","","","","",""
"PHResume=True","20260211","180.91","6","12.04","12.54","192.51","30.87","12"
"PHResume=True","20260212","186.57","19","23.44","42.55","232.33","55.31","13"
"PHResume=True","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"PHResume=True","TOTAL","557.39","31","","","","",""
"PHResume=False","20260211","180.91","6","12.04","12.51","192.51","30.87","9"
"PHResume=False","20260212","178.25","17","20.94","38.77","194.81","55.31","10"
"PHResume=False","20260220","189.91","6","12.03","21.21","197.99","22.66","12"
"PHResume=False","TOTAL","549.07","29","","","","",""
