"Phase","Date","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"Current Settings","20260212","73.95","0.74","2","81.20","11.60","8"
"Current Settings","20260212","144.05","1.44","11","158.05","63.42","6"
"Current Settings","20260212","-26.22","-0.26","2","9.66","31.74","5"
"Current Settings","20260212","136.71","1.37","13","163.50","11.60","5"
