"Scenario","Date","PnL","Trades","SpreadCost","SlipCost","PeakPnL","TroughPnL","Runtime"
"DriftTicks=30","20260211","180.91","6","12.04","12.66","192.51","30.87","11"
"DriftTicks=30","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"DriftTicks=30","20260220","189.91","6","12.03","21.21","197.99","22.66","10"
"DriftTicks=30","TOTAL","557.39","31","","","","",""
"DriftTicks=45","20260211","180.91","6","12.04","12.52","192.51","30.87","10"
"DriftTicks=45","20260212","186.57","19","23.44","42.59","232.33","55.31","11"
"DriftTicks=45","20260220","189.91","6","12.03","21.21","197.99","22.66","11"
"DriftTicks=45","TOTAL","557.39","31","","","","",""
"DriftTicks=60","20260211","180.91","6","12.04","12.66","192.51","30.87","11"
"DriftTicks=60","20260212","186.57","19","23.44","42.55","232.33","55.31","14"
"DriftTicks=60","20260220","189.91","6","12.03","20.94","197.99","22.66","11"
"DriftTicks=60","TOTAL","557.39","31","","","","",""
"DriftTicks=90","20260211","180.91","6","12.04","12.52","192.51","30.87","8"
"DriftTicks=90","20260212","186.57","19","23.44","42.55","232.33","55.31","9"
"DriftTicks=90","20260220","179.61","6","12.04","19.62","187.69","16.89","11"
"DriftTicks=90","TOTAL","547.09","31","","","","",""
"DriftTicks=120","20260211","180.91","6","12.04","12.52","192.51","30.87","14"
"DriftTicks=120","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"DriftTicks=120","20260220","148.75","4","8.02","17.29","175.14","54.25","10"
"DriftTicks=120","TOTAL","516.23","29","","","","",""
"DriftDisp=0.1%","20260211","187.78","11","16.97","22.26","209.23","53.17","12"
"DriftDisp=0.1%","20260212","168.71","21","25.41","49.40","214.47","105.13","9"
"DriftDisp=0.1%","20260220","159.39","8","16.01","21.90","178.49","6.21","12"
"DriftDisp=0.1%","TOTAL","515.88","40","","","","",""
"DriftDisp=0.15%","20260211","180.91","6","12.04","12.68","192.51","30.87","9"
"DriftDisp=0.15%","20260212","186.57","19","23.44","42.55","232.33","55.31","8"
"DriftDisp=0.15%","20260220","180.05","10","20.02","28.76","192.65","6.21","11"
"DriftDisp=0.15%","TOTAL","547.53","35","","","","",""
"DriftDisp=0.2%","20260211","180.91","6","12.04","12.53","192.51","30.87","9"
"DriftDisp=0.2%","20260212","186.57","19","23.44","42.55","232.33","55.31","12"
"DriftDisp=0.2%","20260220","189.91","6","12.03","21.21","197.99","22.66","13"
"DriftDisp=0.2%","TOTAL","557.39","31","","","","",""
"DriftDisp=0.25%","20260211","180.91","6","12.04","12.51","192.51","30.87","10"
"DriftDisp=0.25%","20260212","186.57","19","23.44","42.55","232.33","55.31","9"
"DriftDisp=0.25%","20260220","171.37","6","12.04","19.35","179.45","25.13","9"
"DriftDisp=0.25%","TOTAL","538.85","31","","","","",""
"DriftDisp=0.3%","20260211","180.91","6","12.04","12.66","192.51","30.87","12"
"DriftDisp=0.3%","20260212","186.57","19","23.44","42.55","232.33","55.31","10"
"DriftDisp=0.3%","20260220","-636.37","45","51.73","114.20","167.50","667.65","12"
