"Scenario","Date","Phase","PnL","ReturnPct","Trades","PeakPnL","TroughPnL","Runtime"
"SMA=180s","20260209","base","-94.49","-0.94","4","0.00","94.49","5"
"SMA=180s","20260210","base","-10.91","-0.11","8","65.28","40.20","5"
"SMA=180s","20260211","base","142.18","1.42","5","161.03","23.36","5"
"SMA=180s","20260212","base","144.05","1.44","11","160.15","63.42","5"
"SMA=180s","20260213","base","-596.26","-5.96","27","27.00","597.56","6"
"SMA=180s","TOTAL","base","-415.43","","55","","",""
"SMA=240s","20260209","base","-68.62","-0.69","2","21.90","68.62","5"
"SMA=240s","20260210","base","-65.90","-0.66","10","38.20","82.46","5"
"SMA=240s","20260211","base","152.33","1.52","5","171.18","23.36","5"
"SMA=240s","20260212","base","160.67","1.61","11","176.07","73.43","5"
"SMA=240s","20260213","base","-508.44","-5.08","21","27.00","509.76","6"
"SMA=240s","TOTAL","base","-329.96","","49","","",""
"SMA=300s","20260209","base","-84.10","-0.84","2","5.80","84.10","5"
"SMA=300s","20260210","base","-19.80","-0.20","9","8.76","50.84","5"
"SMA=300s","20260211","base","152.33","1.52","5","171.18","23.36","5"
"SMA=300s","20260212","base","138.50","1.39","11","154.60","62.69","5"
"SMA=300s","20260213","base","-376.63","-3.77","17","27.00","377.97","5"
"SMA=300s","TOTAL","base","-189.70","","44","","",""
"TrendWindow=900s","20260209","base","-94.49","-0.94","4","0.00","94.49","6"
"TrendWindow=900s","20260210","base","-23.99","-0.24","10","65.28","53.34","5"
"TrendWindow=900s","20260211","base","142.18","1.42","5","161.03","23.36","5"
"TrendWindow=900s","20260212","base","144.05","1.44","11","160.15","63.42","5"
"TrendWindow=900s","20260213","base","-699.42","-6.99","29","27.00","700.71","5"
"TrendWindow=900s","TOTAL","base","-531.67","","59","","",""
"TrendWindow=1200s","20260209","base","-94.49","-0.94","4","0.00","94.49","5"
"TrendWindow=1200s","20260210","base","4.95","0.05","11","65.28","53.34","5"
"TrendWindow=1200s","20260211","base","142.18","1.42","5","161.03","23.36","5"
"TrendWindow=1200s","20260212","base","144.05","1.44","11","158.05","63.42","5"
"TrendWindow=1200s","20260213","base","-733.92","-7.34","31","27.00","735.21","5"
"TrendWindow=1200s","TOTAL","base","-537.23","","62","","",""
"TrendWindow=1800s","20260209","base","-94.49","-0.94","4","0.00","94.49","5"
"TrendWindow=1800s","20260210","base","-10.91","-0.11","8","65.28","40.20","5"
"TrendWindow=1800s","20260211","base","142.18","1.42","5","161.03","23.36","6"
"TrendWindow=1800s","20260212","base","144.05","1.44","11","160.15","63.42","5"
"TrendWindow=1800s","20260213","base","-596.26","-5.96","27","27.00","597.56","6"
"TrendWindow=1800s","TOTAL","base","-415.43","","55","","",""
"TrendWindow=2400s","20260209","base","-94.49","-0.94","4","0.00","94.49","5"
"TrendWindow=2400s","20260210","base","-10.91","-0.11","8","65.28","40.20","5"
"TrendWindow=2400s","20260211","base","142.18","1.42","5","161.03","23.36","5"
"TrendWindow=2400s","20260212","base","144.05","1.44","11","158.05","63.42","5"
"TrendWindow=2400s","20260213","base","-492.83","-4.93","23","27.00","492.83","5"
"TrendWindow=2400s","TOTAL","base","-312.00","","51","","",""
"TrendWindow=3600s","20260209","base","-94.49","-0.94","4","0.00","94.49","5"
"TrendWindow=3600s","20260210","base","18.03","0.18","9","65.28","40.20","5"
"TrendWindow=3600s","20260211","base","142.18","1.42","5","161.03","23.36","5"
"TrendWindow=3600s","20260212","base","144.05","1.44","11","160.15","63.42","6"
"TrendWindow=3600s","20260213","base","-498.03","-4.98","23","27.00","498.03","5"
"TrendWindow=3600s","TOTAL","base","-288.26","","52","","",""
"MinChop=$0.01","20260209","base","-94.49","-0.94","4","0.00","94.49","5"
"MinChop=$0.01","20260210","base","-10.91","-0.11","8","65.28","40.20","5"
"MinChop=$0.01","20260211","base","142.18","1.42","5","161.03","23.36","5"
"MinChop=$0.01","20260212","base","144.05","1.44","11","158.05","63.42","5"
"MinChop=$0.01","20260213","base","-596.26","-5.96","27","27.00","597.56","5"
"MinChop=$0.01","TOTAL","base","-415.43","","55","","",""
"MinChop=$0.02","20260209","base","-94.49","-0.94","4","0.00","94.49","5"
"MinChop=$0.02","20260210","base","-10.91","-0.11","8","65.28","40.20","5"
"MinChop=$0.02","20260211","base","142.18","1.42","5","161.03","23.36","5"
"MinChop=$0.02","20260212","base","144.05","1.44","11","160.15","63.42","5"
"MinChop=$0.02","20260213","base","-596.26","-5.96","27","27.00","597.56","6"
"MinChop=$0.02","TOTAL","base","-415.43","","55","","",""
"MinChop=$0.03","20260209","base","-94.49","-0.94","4","0.00","94.49","6"
"MinChop=$0.03","20260210","base","-10.91","-0.11","8","65.28","40.20","5"
"MinChop=$0.03","20260211","base","142.18","1.42","5","161.03","23.36","5"
"MinChop=$0.03","20260212","base","144.05","1.44","11","160.15","63.42","5"
"MinChop=$0.03","20260213","base","-596.26","-5.96","27","27.00","597.56","5"
"MinChop=$0.03","TOTAL","base","-415.43","","55","","",""
"MinChop=$0.04","20260209","base","-94.49","-0.94","4","0.00","94.49","5"
"MinChop=$0.04","20260210","base","-10.91","-0.11","8","65.28","40.20","5"
"MinChop=$0.04","20260211","base","142.18","1.42","5","161.03","23.36","5"
"MinChop=$0.04","20260212","base","144.05","1.44","11","160.15","63.42","5"
"MinChop=$0.04","20260213","base","-596.26","-5.96","27","27.00","597.56","5"
"MinChop=$0.04","TOTAL","base","-415.43","","55","","",""
"MinChop=$0.05","20260209","base","-94.49","-0.94","4","0.00","94.49","5"
"MinChop=$0.05","20260210","base","-10.91","-0.11","8","65.28","40.20","5"
"MinChop=$0.05","20260211","base","142.18","1.42","5","161.03","23.36","5"
"MinChop=$0.05","20260212","base","144.05","1.44","11","160.15","63.42","5"
"MinChop=$0.05","20260213","base","-596.26","-5.96","27","27.00","597.56","5"
"MinChop=$0.05","TOTAL","base","-415.43","","55","","",""
